HeaterTemp,NumIterations,AverageTemp
3.000000000000000000e+01,5.000000000000000000e+00,1.973390327324002769e+01
3.000000000000000000e+01,1.000000000000000000e+01,1.973367500899840010e+01
3.000000000000000000e+01,2.000000000000000000e+01,1.973367489003664588e+01
3.500000000000000000e+01,5.000000000000000000e+00,1.973390327324002769e+01
3.500000000000000000e+01,1.000000000000000000e+01,1.973367500899840010e+01
3.500000000000000000e+01,2.000000000000000000e+01,1.973367489003664588e+01
4.000000000000000000e+01,5.000000000000000000e+00,1.973390327324002769e+01
4.000000000000000000e+01,1.000000000000000000e+01,1.973367500899840010e+01
4.000000000000000000e+01,2.000000000000000000e+01,1.973367489003664588e+01
4.500000000000000000e+01,5.000000000000000000e+00,1.973390327324002769e+01
4.500000000000000000e+01,1.000000000000000000e+01,1.973367500899840010e+01
4.500000000000000000e+01,2.000000000000000000e+01,1.973367489003664588e+01
5.000000000000000000e+01,5.000000000000000000e+00,1.973390327324002769e+01
5.000000000000000000e+01,1.000000000000000000e+01,1.973367500899840010e+01
5.000000000000000000e+01,2.000000000000000000e+01,1.973367489003664588e+01
